Goal                    Number of pairs that work
both blue and both odd  3
sum > 8 and only even   5
sum <= 3                5
same value              6
blue odd and red even   9
sum <= 4                10
sum <= 10               10
sum = 7                 12
both even               15
both red                15
sum <= 9                18
same color              30
both odd or both even   30
6 <= sum <= 8           30
one odd and one even    36
not same color          36
not same number         60
